ID,Comunidad Autónoma,Año,Todas las causas,Enfermedades infecciosas y parasitarias,Tumores,Enfermedades de la sangre,Enfermedades endocrinas,Trastornos mentales y del comportamiento,Enfermedades del sistema nervioso,Enfermedades del sistema circulatorio,Enfermedades del sistema respiratorio,Enfermedades del sistema digestivo,Enfermedades de la piel,Enfermedades del sistema osteomuscular,Enfermedades del sistema genitourinario,"Embarazo, parto y puerperio",Afecciones periodo perinatal,Anomalías congénitas y cromosómicas,Síntomas no clasificados,Causas externas,Población,Renta,Inversión,Tasa pobreza,Médicos especialistas
12,Galicia,2015,31688.0,517.0,8283.0,175.0,1056.0,2156.0,1532.0,9523.0,3977.0,1434.0,146.0,193.0,829.0,0.0,33.0,50.0,542.0,1242.0,2725000,20794,1247.0574177302883,19.4,1.79
13,Madrid,2015,46859.0,952.0,12781.0,191.0,1200.0,1901.0,2548.0,12119.0,7340.0,2055.0,177.0,413.0,1409.0,2.0,102.0,86.0,2155.0,1428.0,6401000,31907,1142.0748002182033,15.1,2.04
14,Murcia,2015,11233.0,205.0,2884.0,48.0,420.0,415.0,800.0,3282.0,1553.0,576.0,48.0,87.0,413.0,1.0,28.0,27.0,87.0,359.0,1464000,19462,1126.146975628214,31.8,1.75
15,Navarra,2015,5680.0,70.0,1626.0,23.0,242.0,340.0,464.0,1498.0,634.0,252.0,25.0,85.0,132.0,0.0,9.0,10.0,19.0,251.0,636000,28520,1466.7440050178056,9.6,2.33
16,Euskadi,2015,21511.0,363.0,6377.0,109.0,669.0,1361.0,1460.0,5791.0,2124.0,973.0,81.0,249.0,526.0,0.0,28.0,45.0,676.0,679.0,2163000,30046,1602.4155076909176,10.9,2.15
17,La Rioja,2015,3093.0,57.0,859.0,10.0,88.0,164.0,261.0,948.0,286.0,145.0,4.0,40.0,64.0,0.0,3.0,3.0,32.0,129.0,312000,25453,1127.120687750854,17.1,1.71
0,NACIONAL,2014,395830.0,6508.0,110278.0,1784.0,13013.0,18706.0,23394.0,117393.0,43841.0,19385.0,1318.0,3679.0,11530.0,9.0,778.0,828.0,8483.0,14903.0,46455000,22218,1144.7586211822343,22.2,1.81
1,Andalucía,2014,66322.0,1255.0,17088.0,279.0,2039.0,2293.0,3750.0,21995.0,6861.0,3515.0,238.0,635.0,1863.0,6.0,191.0,156.0,1806.0,2352.0,8390000,16413,978.0683339086567,33.3,1.53
2,Aragón,2014,13742.0,209.0,3793.0,67.0,555.0,756.0,787.0,4191.0,1379.0,652.0,31.0,253.0,395.0,1.0,16.0,23.0,180.0,454.0,1328000,24308,1205.8162904305423,16.9,2.15
3,Asturias,2014,12812.0,167.0,3548.0,48.0,356.0,772.0,685.0,4070.0,1382.0,585.0,24.0,133.0,368.0,0.0,9.0,22.0,123.0,520.0,1054000,19594,1402.3522344537694,16.7,2.15
4,Baleares,2014,7847.0,157.0,2117.0,42.0,298.0,397.0,469.0,2288.0,778.0,368.0,35.0,105.0,263.0,0.0,17.0,15.0,143.0,355.0,1120000,23892,1070.9561370420563,17.9,1.87
5,Canarias,2014,14331.0,261.0,4230.0,67.0,1360.0,472.0,698.0,3488.0,1688.0,587.0,63.0,124.0,454.0,0.0,24.0,43.0,208.0,564.0,2118000,18536,1233.0156672630496,27.6,1.78
6,Cantabria,2014,5899.0,111.0,1710.0,19.0,88.0,341.0,316.0,1629.0,738.0,269.0,25.0,44.0,173.0,0.0,7.0,9.0,139.0,281.0,586000,20568,1338.6722305170556,20.6,1.76
7,Castilla y León,2014,27787.0,444.0,7911.0,133.0,1180.0,1128.0,1516.0,8268.0,3165.0,1386.0,105.0,384.0,734.0,0.0,28.0,53.0,373.0,979.0,2485000,20737,1282.3474729201223,20.4,1.86
8,Castilla La Mancha,2014,18379.0,218.0,4859.0,79.0,614.0,882.0,1087.0,5251.0,2410.0,959.0,96.0,203.0,595.0,0.0,23.0,36.0,345.0,722.0,2067000,17099,1151.8158159260358,28.4,1.74
9,Cataluña,2014,61319.0,1043.0,17231.0,363.0,1724.0,3955.0,4590.0,16929.0,6282.0,3016.0,145.0,365.0,1772.0,1.0,110.0,109.0,936.0,2748.0,7399000,26403,1117.8975536457904,15.8,1.84
10,Valencia,2014,41550.0,670.0,11474.0,180.0,1417.0,2022.0,2882.0,12748.0,4125.0,1951.0,150.0,445.0,1328.0,0.0,74.0,77.0,660.0,1347.0,4947000,19469,1084.3521352357177,26.2,1.68
11,Extremadura,2014,10799.0,167.0,3015.0,35.0,301.0,288.0,554.0,3428.0,1229.0,588.0,33.0,114.0,329.0,0.0,14.0,34.0,388.0,282.0,1093000,15564,1207.9556035971107,33.1,1.75
12,Galicia,2014,29929.0,419.0,8233.0,185.0,744.0,1947.0,1405.0,9586.0,3274.0,1404.0,140.0,171.0,727.0,0.0,23.0,44.0,361.0,1266.0,2739000,19782,1201.9943258743228,15.4,1.76
13,Madrid,2014,43064.0,696.0,12916.0,112.0,964.0,1453.0,1949.0,11446.0,6274.0,1993.0,116.0,273.0,1399.0,1.0,150.0,80.0,1971.0,1271.0,6376000,30574,1094.465121063417,14.7,2
14,Murcia,2014,10397.0,186.0,2859.0,43.0,390.0,343.0,695.0,3051.0,1265.0,558.0,38.0,76.0,406.0,0.0,33.0,26.0,74.0,354.0,1462000,18260,1110.438562848795,37.2,1.75
15,Navarra,2014,5511.0,76.0,1646.0,24.0,221.0,279.0,410.0,1481.0,598.0,283.0,10.0,73.0,117.0,0.0,10.0,27.0,44.0,212.0,636000,27524,1403.235722282887,11.9,2.39
16,Euskadi,2014,20166.0,320.0,6359.0,75.0,588.0,1188.0,1290.0,5395.0,1873.0,948.0,59.0,219.0,490.0,0.0,17.0,50.0,590.0,705.0,2165000,28946,1586.0460779039383,10.2,2.13
17,La Rioja,2014,2886.0,30.0,786.0,14.0,89.0,170.0,240.0,889.0,278.0,137.0,3.0,44.0,69.0,0.0,3.0,5.0,19.0,110.0,314000,24471,1113.588878326873,16.2,1.68
0,NACIONAL,2013,390419.0,6209.0,111021.0,1639.0,12206.0,16977.0,21486.0,117484.0,42565.0,19378.0,1290.0,3361.0,11689.0,18.0,713.0,758.0,8947.0,14678.0,46593000,21899,1141.8487218132666,20.4,1.78
1,Andalucía,2013,65690.0,1110.0,17424.0,245.0,1796.0,2000.0,3423.0,21674.0,6796.0,3689.0,241.0,646.0,2032.0,6.0,184.0,129.0,1988.0,2307.0,8387000,16221,1009.7486736852939,29.1,1.54
2,Aragón,2013,13353.0,192.0,3764.0,49.0,484.0,626.0,669.0,4215.0,1261.0,711.0,23.0,243.0,352.0,2.0,13.0,23.0,320.0,406.0,1334000,24041,1210.7533268112372,16.1,2.06
3,Asturias,2013,12722.0,147.0,3620.0,33.0,356.0,713.0,674.0,4174.0,1300.0,538.0,40.0,125.0,337.0,1.0,8.0,17.0,109.0,530.0,1062000,19518,1391.6725701917153,14.1,2.16
4,Baleares,2013,7660.0,143.0,2083.0,32.0,270.0,339.0,444.0,2346.0,755.0,373.0,28.0,64.0,254.0,0.0,19.0,16.0,165.0,329.0,1112000,23304,1057.7174669398212,19.8,1.81
5,Canarias,2013,13621.0,233.0,4270.0,50.0,1251.0,477.0,661.0,3112.0,1544.0,611.0,46.0,111.0,442.0,1.0,19.0,37.0,178.0,578.0,2108000,18512,1224.5986203564987,28.4,1.73
6,Cantabria,2013,5603.0,148.0,1685.0,16.0,65.0,378.0,278.0,1579.0,623.0,232.0,27.0,12.0,169.0,0.0,10.0,6.0,82.0,293.0,588000,20159,1310.3518137771796,17.8,1.67
